Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 2, Census Tract 1804.02, Barrow County, Georgia",1272,0.0,268.0,148.0,823.0,33.0,0.0
"Block Group 3, Census Tract 1804.02, Barrow County, Georgia",349,0.0,74.0,41.0,226.0,9.0,-1.0
"Block Group 1, Census Tract 1805.01, Barrow County, Georgia",1668,0.0,408.0,215.0,1041.0,4.0,0.0
"Block Group 1, Census Tract 1805.02, Barrow County, Georgia",500,0.0,47.0,46.0,399.0,8.0,0.0
"Block Group 2, Census Tract 1805.02, Barrow County, Georgia",584,0.0,55.0,54.0,466.0,10.0,-1.0
"Block Group 3, Census Tract 1805.02, Barrow County, Georgia",324,0.0,30.0,30.0,258.0,5.0,1.0
"Block Group 4, Census Tract 1805.02, Barrow County, Georgia",209,0.0,20.0,19.0,167.0,3.0,0.0
"Block Group 1, Census Tract 1805.03, Barrow County, Georgia",1980,0.0,157.0,235.0,1432.0,157.0,-1.0
"Block Group 1, Census Tract 9601.01, Bartow County, Georgia",316,0.0,23.0,0.0,293.0,0.0,0.0
"Block Group 1, Census Tract 9601.02, Bartow County, Georgia",1073,0.0,45.0,47.0,979.0,3.0,-1.0
"Block Group 2, Census Tract 9601.02, Bartow County, Georgia",532,0.0,22.0,23.0,485.0,1.0,1.0
"Block Group 3, Census Tract 9601.02, Bartow County, Georgia",465,0.0,19.0,20.0,424.0,1.0,1.0
"Block Group 1, Census Tract 9602, Bartow County, Georgia",688,0.0,31.0,30.0,627.0,0.0,0.0
"Block Group 2, Census Tract 9602, Bartow County, Georgia",368,0.0,17.0,16.0,336.0,0.0,-1.0
"Block Group 3, Census Tract 9602, Bartow County, Georgia",661,0.0,30.0,29.0,603.0,0.0,-1.0
"Block Group 4, Census Tract 9602, Bartow County, Georgia",1009,0.0,45.0,44.0,920.0,0.0,0.0
"Block Group 5, Census Tract 9602, Bartow County, Georgia",408,0.0,18.0,18.0,372.0,0.0,0.0
"Block Group 1, Census Tract 9603, Bartow County, Georgia",785,0.0,13.0,8.0,738.0,25.0,1.0
"Block Group 2, Census Tract 9603, Bartow County, Georgia",882,0.0,15.0,9.0,830.0,29.0,-1.0
"Block Group 1, Census Tract 9604.01, Bartow County, Georgia",215,0.0,35.0,36.0,142.0,3.0,-1.0
"Block Group 2, Census Tract 9604.01, Bartow County, Georgia",1377,0.0,221.0,230.0,909.0,17.0,0.0
"Block Group 3, Census Tract 9604.01, Bartow County, Georgia",1274,0.0,205.0,213.0,841.0,15.0,0.0
"Block Group 1, Census Tract 9604.02, Bartow County, Georgia",817,0.0,145.0,77.0,586.0,9.0,0.0
"Block Group 2, Census Tract 9604.02, Bartow County, Georgia",447,0.0,79.0,42.0,321.0,5.0,0.0
"Block Group 3, Census Tract 9604.02, Bartow County, Georgia",1331,0.0,235.0,126.0,955.0,14.0,1.0
"Block Group 1, Census Tract 9605, Bartow County, Georgia",388,6.0,78.0,49.0,255.0,0.0,0.0
"Block Group 2, Census Tract 9605, Bartow County, Georgia",248,4.0,50.0,31.0,163.0,0.0,0.0
"Block Group 3, Census Tract 9605, Bartow County, Georgia",301,4.0,61.0,38.0,198.0,0.0,0.0
"Block Group 4, Census Tract 9605, Bartow County, Georgia",1387,20.0,280.0,175.0,912.0,0.0,0.0
"Block Group 1, Census Tract 9606, Bartow County, Georgia",400,0.0,93.0,29.0,278.0,0.0,0.0
"Block Group 2, Census Tract 9606, Bartow County, Georgia",102,0.0,24.0,7.0,71.0,0.0,0.0
"Block Group 3, Census Tract 9606, Bartow County, Georgia",659,0.0,153.0,48.0,458.0,0.0,0.0
"Block Group 4, Census Tract 9606, Bartow County, Georgia",432,0.0,101.0,31.0,300.0,0.0,0.0
"Block Group 5, Census Tract 9606, Bartow County, Georgia",965,0.0,225.0,70.0,671.0,0.0,-1.0
"Block Group 6, Census Tract 9606, Bartow County, Georgia",229,0.0,53.0,17.0,159.0,0.0,0.0
"Block Group 1, Census Tract 9607, Bartow County, Georgia",281,5.0,80.0,51.0,146.0,0.0,-1.0
"Block Group 2, Census Tract 9607, Bartow County, Georgia",1117,19.0,318.0,201.0,579.0,0.0,0.0
"Block Group 3, Census Tract 9607, Bartow County, Georgia",389,7.0,111.0,70.0,202.0,0.0,-1.0
"Block Group 4, Census Tract 9607, Bartow County, Georgia",467,8.0,133.0,84.0,242.0,0.0,0.0
"Block Group 5, Census Tract 9607, Bartow County, Georgia",306,5.0,87.0,55.0,159.0,0.0,0.0
"Block Group 1, Census Tract 9608.01, Bartow County, Georgia",258,0.0,0.0,44.0,203.0,11.0,0.0
"Block Group 2, Census Tract 9608.01, Bartow County, Georgia",581,0.0,0.0,99.0,458.0,24.0,0.0
"Block Group 1, Census Tract 9608.02, Bartow County, Georgia",401,6.0,0.0,73.0,322.0,0.0,0.0
"Block Group 2, Census Tract 9608.02, Bartow County, Georgia",195,3.0,0.0,36.0,157.0,0.0,-1.0
"Block Group 1, Census Tract 9608.03, Bartow County, Georgia",392,0.0,2.0,24.0,332.0,33.0,1.0
"Block Group 2, Census Tract 9608.03, Bartow County, Georgia",643,0.0,4.0,40.0,545.0,54.0,0.0
"Block Group 3, Census Tract 9608.03, Bartow County, Georgia",585,0.0,3.0,36.0,496.0,49.0,1.0
