Geographic Area Names,Geography,Income in the past 12 months below poverty level!!Female!!18 to 44 years,Income in the past 12 months at or above poverty level!!Female!!18 to 44 years
"Block Group 3, Census Tract 9608.03, Bartow County, Georgia",1400000US13015960803,162.0,423.0
"Block Group 1, Census Tract 9609.01, Bartow County, Georgia",1400000US13015960901,57.0,388.0
"Block Group 2, Census Tract 9609.01, Bartow County, Georgia",1400000US13015960901,83.0,567.0
"Block Group 1, Census Tract 9609.02, Bartow County, Georgia",1400000US13015960902,48.0,370.0
"Block Group 2, Census Tract 9609.02, Bartow County, Georgia",1400000US13015960902,25.0,197.0
"Block Group 3, Census Tract 9609.02, Bartow County, Georgia",1400000US13015960902,62.0,478.0
"Block Group 4, Census Tract 9609.02, Bartow County, Georgia",1400000US13015960902,45.0,346.0
"Block Group 1, Census Tract 9610, Bartow County, Georgia",1400000US13015961000,18.0,133.0
"Block Group 2, Census Tract 9610, Bartow County, Georgia",1400000US13015961000,55.0,413.0
"Block Group 3, Census Tract 9610, Bartow County, Georgia",1400000US13015961000,39.0,296.0
"Block Group 4, Census Tract 9610, Bartow County, Georgia",1400000US13015961000,61.0,462.0
"Block Group 1, Census Tract 9601, Ben Hill County, Georgia",1400000US13017960100,236.0,652.0
"Block Group 1, Census Tract 9602, Ben Hill County, Georgia",1400000US13017960200,9.0,226.0
"Block Group 1, Census Tract 9603, Ben Hill County, Georgia",1400000US13017960300,123.0,147.0
"Block Group 2, Census Tract 9603, Ben Hill County, Georgia",1400000US13017960300,26.0,31.0
"Block Group 3, Census Tract 9603, Ben Hill County, Georgia",1400000US13017960300,196.0,234.0
"Block Group 4, Census Tract 9603, Ben Hill County, Georgia",1400000US13017960300,52.0,61.0
"Block Group 1, Census Tract 9604, Ben Hill County, Georgia",1400000US13017960400,142.0,217.0
"Block Group 2, Census Tract 9604, Ben Hill County, Georgia",1400000US13017960400,194.0,297.0
"Block Group 3, Census Tract 9604, Ben Hill County, Georgia",1400000US13017960400,49.0,75.0
"Block Group 4, Census Tract 9604, Ben Hill County, Georgia",1400000US13017960400,73.0,112.0
"Block Group 1, Census Tract 9605, Ben Hill County, Georgia",1400000US13017960500,214.0,603.0
"Block Group 2, Census Tract 9605, Ben Hill County, Georgia",1400000US13017960500,25.0,70.0
"Block Group 3, Census Tract 9605, Ben Hill County, Georgia",1400000US13017960500,28.0,80.0
"Block Group 4, Census Tract 9605, Ben Hill County, Georgia",1400000US13017960500,48.0,137.0
"Block Group 5, Census Tract 9605, Ben Hill County, Georgia",1400000US13017960500,10.0,30.0
"Block Group 1, Census Tract 9701, Berrien County, Georgia",1400000US13019970100,20.0,66.0
"Block Group 2, Census Tract 9701, Berrien County, Georgia",1400000US13019970100,92.0,310.0
"Block Group 1, Census Tract 9702, Berrien County, Georgia",1400000US13019970200,114.0,318.0
"Block Group 2, Census Tract 9702, Berrien County, Georgia",1400000US13019970200,111.0,311.0
"Block Group 1, Census Tract 9703, Berrien County, Georgia",1400000US13019970300,9.0,61.0
"Block Group 2, Census Tract 9703, Berrien County, Georgia",1400000US13019970300,44.0,290.0
"Block Group 3, Census Tract 9703, Berrien County, Georgia",1400000US13019970300,32.0,206.0
"Block Group 1, Census Tract 9704, Berrien County, Georgia",1400000US13019970400,69.0,83.0
"Block Group 2, Census Tract 9704, Berrien County, Georgia",1400000US13019970400,146.0,173.0
"Block Group 3, Census Tract 9704, Berrien County, Georgia",1400000US13019970400,132.0,156.0
"Block Group 1, Census Tract 9705, Berrien County, Georgia",1400000US13019970500,88.0,220.0
"Block Group 2, Census Tract 9705, Berrien County, Georgia",1400000US13019970500,134.0,332.0
"Block Group 1, Census Tract 9706, Berrien County, Georgia",1400000US13019970600,132.0,234.0
"Block Group 2, Census Tract 9706, Berrien County, Georgia",1400000US13019970600,184.0,325.0
"Block Group 3, Census Tract 9706, Berrien County, Georgia",1400000US13019970600,55.0,97.0
"Block Group 1, Census Tract 101, Bibb County, Georgia",1400000US13021010100,131.0,81.0
"Block Group 2, Census Tract 101, Bibb County, Georgia",1400000US13021010100,140.0,88.0
"Block Group 1, Census Tract 102, Bibb County, Georgia",1400000US13021010200,16.0,98.0
"Block Group 2, Census Tract 102, Bibb County, Georgia",1400000US13021010200,37.0,229.0
"Block Group 3, Census Tract 102, Bibb County, Georgia",1400000US13021010200,30.0,186.0
"Block Group 1, Census Tract 103, Bibb County, Georgia",1400000US13021010300,202.0,74.0
"Block Group 1, Census Tract 104, Bibb County, Georgia",1400000US13021010400,75.0,46.0
"Block Group 2, Census Tract 104, Bibb County, Georgia",1400000US13021010400,27.0,16.0
"Block Group 3, Census Tract 104, Bibb County, Georgia",1400000US13021010400,18.0,11.0
"Block Group 4, Census Tract 104, Bibb County, Georgia",1400000US13021010400,99.0,60.0
"Block Group 1, Census Tract 105, Bibb County, Georgia",1400000US13021010500,1221.0,183.0
"Block Group 2, Census Tract 105, Bibb County, Georgia",1400000US13021010500,101.0,15.0
"Block Group 1, Census Tract 108, Bibb County, Georgia",1400000US13021010800,182.0,405.0
"Block Group 1, Census Tract 110, Bibb County, Georgia",1400000US13021011000,31.0,25.0
"Block Group 2, Census Tract 110, Bibb County, Georgia",1400000US13021011000,345.0,274.0
"Block Group 3, Census Tract 110, Bibb County, Georgia",1400000US13021011000,36.0,29.0
"Block Group 4, Census Tract 110, Bibb County, Georgia",1400000US13021011000,78.0,62.0
"Block Group 5, Census Tract 110, Bibb County, Georgia",1400000US13021011000,18.0,15.0
"Block Group 1, Census Tract 111, Bibb County, Georgia",1400000US13021011100,162.0,119.0
"Block Group 2, Census Tract 111, Bibb County, Georgia",1400000US13021011100,106.0,79.0
"Block Group 3, Census Tract 111, Bibb County, Georgia",1400000US13021011100,40.0,29.0
"Block Group 1, Census Tract 115, Bibb County, Georgia",1400000US13021011500,76.0,24.0
"Block Group 2, Census Tract 115, Bibb County, Georgia",1400000US13021011500,55.0,17.0
"Block Group 1, Census Tract 117.01, Bibb County, Georgia",1400000US13021011701,101.0,227.0
"Block Group 2, Census Tract 117.01, Bibb County, Georgia",1400000US13021011701,149.0,333.0
"Block Group 1, Census Tract 117.02, Bibb County, Georgia",1400000US13021011702,43.0,122.0
"Block Group 2, Census Tract 117.02, Bibb County, Georgia",1400000US13021011702,42.0,117.0
"Block Group 3, Census Tract 117.02, Bibb County, Georgia",1400000US13021011702,57.0,162.0
"Block Group 4, Census Tract 117.02, Bibb County, Georgia",1400000US13021011702,26.0,72.0
"Block Group 5, Census Tract 117.02, Bibb County, Georgia",1400000US13021011702,29.0,80.0
"Block Group 6, Census Tract 117.02, Bibb County, Georgia",1400000US13021011702,44.0,125.0
"Block Group 1, Census Tract 118, Bibb County, Georgia",1400000US13021011800,85.0,345.0
"Block Group 2, Census Tract 118, Bibb County, Georgia",1400000US13021011800,67.0,273.0
"Block Group 3, Census Tract 118, Bibb County, Georgia",1400000US13021011800,24.0,100.0
"Block Group 4, Census Tract 118, Bibb County, Georgia",1400000US13021011800,51.0,208.0
"Block Group 1, Census Tract 119, Bibb County, Georgia",1400000US13021011900,11.0,60.0
"Block Group 2, Census Tract 119, Bibb County, Georgia",1400000US13021011900,51.0,265.0
"Block Group 3, Census Tract 119, Bibb County, Georgia",1400000US13021011900,32.0,166.0
"Block Group 1, Census Tract 120, Bibb County, Georgia",1400000US13021012000,8.0,83.0
"Block Group 2, Census Tract 120, Bibb County, Georgia",1400000US13021012000,18.0,185.0
"Block Group 3, Census Tract 120, Bibb County, Georgia",1400000US13021012000,37.0,381.0
"Block Group 4, Census Tract 120, Bibb County, Georgia",1400000US13021012000,37.0,385.0
"Block Group 1, Census Tract 121.01, Bibb County, Georgia",1400000US13021012101,265.0,681.0
"Block Group 1, Census Tract 121.02, Bibb County, Georgia",1400000US13021012102,101.0,477.0
"Block Group 2, Census Tract 121.02, Bibb County, Georgia",1400000US13021012102,65.0,306.0
"Block Group 3, Census Tract 121.02, Bibb County, Georgia",1400000US13021012102,164.0,779.0
"Block Group 1, Census Tract 122, Bibb County, Georgia",1400000US13021012200,72.0,77.0
"Block Group 2, Census Tract 122, Bibb County, Georgia",1400000US13021012200,218.0,232.0
"Block Group 1, Census Tract 123, Bibb County, Georgia",1400000US13021012300,129.0,122.0
"Block Group 2, Census Tract 123, Bibb County, Georgia",1400000US13021012300,26.0,24.0
"Block Group 3, Census Tract 123, Bibb County, Georgia",1400000US13021012300,217.0,206.0
"Block Group 1, Census Tract 124, Bibb County, Georgia",1400000US13021012400,400.0,202.0
"Block Group 2, Census Tract 124, Bibb County, Georgia",1400000US13021012400,188.0,95.0
"Block Group 3, Census Tract 124, Bibb County, Georgia",1400000US13021012400,145.0,74.0
"Block Group 4, Census Tract 124, Bibb County, Georgia",1400000US13021012400,86.0,43.0
"Block Group 1, Census Tract 125, Bibb County, Georgia",1400000US13021012500,103.0,92.0
"Block Group 2, Census Tract 125, Bibb County, Georgia",1400000US13021012500,166.0,148.0
"Block Group 3, Census Tract 125, Bibb County, Georgia",1400000US13021012500,288.0,256.0
"Block Group 1, Census Tract 126, Bibb County, Georgia",1400000US13021012600,352.0,523.0
"Block Group 2, Census Tract 126, Bibb County, Georgia",1400000US13021012600,52.0,77.0
"Block Group 3, Census Tract 126, Bibb County, Georgia",1400000US13021012600,116.0,173.0
"Block Group 4, Census Tract 126, Bibb County, Georgia",1400000US13021012600,182.0,271.0
"Block Group 1, Census Tract 127, Bibb County, Georgia",1400000US13021012700,159.0,85.0
"Block Group 2, Census Tract 127, Bibb County, Georgia",1400000US13021012700,164.0,88.0
"Block Group 3, Census Tract 127, Bibb County, Georgia",1400000US13021012700,146.0,79.0
"Block Group 1, Census Tract 128, Bibb County, Georgia",1400000US13021012800,396.0,345.0
"Block Group 2, Census Tract 128, Bibb County, Georgia",1400000US13021012800,131.0,114.0
"Block Group 3, Census Tract 128, Bibb County, Georgia",1400000US13021012800,68.0,59.0
